City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Santiago De Cuba,20.0247,-75.8219,86.0,62,20,9.22,CU,2021-04-25 19:38:25
68,Almeria,37.1667,-2.3333,66.2,68,75,10.36,ES,2021-04-25 19:39:13
69,Shieli,44.1667,66.75,59.61,37,100,9.31,KZ,2021-04-25 19:39:14
70,Iqaluit,63.7506,-68.5145,33.8,80,90,3.44,CA,2021-04-25 19:39:14
71,Arman,59.7,150.1667,12.56,77,32,7.76,RU,2021-04-25 19:38:29
72,Longyearbyen,78.2186,15.6401,21.2,58,40,12.66,SJ,2021-04-25 19:39:14
73,Coihaique,-45.5752,-72.0662,59.0,51,20,6.91,CL,2021-04-25 19:39:14
74,Atuona,-9.8,-139.0333,79.92,72,50,15.3,PF,2021-04-25 19:36:10
75,Richards Bay,-28.783,32.0377,66.4,88,15,3.31,ZA,2021-04-25 19:34:39
76,Fagernes,60.9858,9.2324,21.6,90,53,2.17,NO,2021-04-25 19:39:15
77,Busselton,-33.65,115.3333,52.0,96,100,4.36,AU,2021-04-25 19:39:15
78,Leningradskiy,69.3833,178.4167,21.16,86,100,2.35,RU,2021-04-25 19:39:16
79,Dryden,49.7833,-92.7503,44.6,24,90,8.05,CA,2021-04-25 19:39:17
80,Khanpur,28.6453,70.6567,88.29,11,0,8.16,PK,2021-04-25 19:39:17
81,Pizarro,4.9533,-77.366,83.07,76,80,7.36,CO,2021-04-25 19:39:18
82,Adre,13.4667,22.2,82.17,32,77,3.8,TD,2021-04-25 19:39:18
83,Saint-Philippe,-21.3585,55.7679,78.8,69,75,21.85,RE,2021-04-25 19:36:21
84,Alofi,-19.0595,-169.9187,77.0,94,67,1.14,NU,2021-04-25 19:39:19
85,Faanui,-16.4833,-151.75,80.94,64,4,2.91,PF,2021-04-25 19:39:20
86,Severo-Kurilsk,50.6789,156.125,31.8,97,100,11.05,RU,2021-04-25 19:36:10
87,Padang,-0.9492,100.3543,77.59,85,92,3.36,ID,2021-04-25 19:39:20
88,Fort Frances,48.5999,-93.4003,50.0,20,1,8.05,CA,2021-04-25 19:39:20
89,Punta Arenas,-53.15,-70.9167,57.2,62,75,18.41,CL,2021-04-25 19:35:13
90,Matara,5.9485,80.5353,77.36,88,24,2.75,LK,2021-04-25 19:37:34
91,Uvalde,29.3669,-99.767,89.01,30,1,10.36,US,2021-04-25 19:39:21
92,Butaritari,3.0707,172.7902,82.36,76,19,12.17,KI,2021-04-25 19:39:21
93,Dudinka,69.4058,86.1778,-4.76,100,100,2.13,RU,2021-04-25 19:38:14
94,Bengkulu,-3.8004,102.2655,75.76,89,57,4.59,ID,2021-04-25 19:35:20
95,Castro,-24.7911,-50.0119,64.26,85,100,4.74,BR,2021-04-25 19:39:22
96,Yerbogachen,61.2767,108.0108,31.84,90,100,6.58,RU,2021-04-25 19:39:22
97,Marrakesh,31.6315,-8.0083,69.8,46,75,12.66,MA,2021-04-25 19:39:22
98,Geraldton,-28.7667,114.6,66.2,52,0,12.66,AU,2021-04-25 19:36:50
99,Price,39.5994,-110.8107,68.0,18,1,18.41,US,2021-04-25 19:37:40
100,Bandarbeyla,9.4942,50.8122,83.01,72,64,8.39,SO,2021-04-25 19:39:22
101,Lavrentiya,65.5833,-171.0,28.38,83,97,1.48,RU,2021-04-25 19:39:23
102,Khatanga,71.9667,102.5,4.59,88,78,14.72,RU,2021-04-25 19:38:55
103,Hami,42.8,93.45,41.02,20,90,6.11,CN,2021-04-25 19:39:24
104,Jamestown,42.097,-79.2353,46.0,81,90,11.5,US,2021-04-25 19:38:16
105,Shumikha,55.2261,63.2961,46.38,56,92,10.47,RU,2021-04-25 19:39:25
106,Nemuro,43.3236,145.575,32.0,67,11,17.81,JP,2021-04-25 19:36:37
107,Moose Factory,51.2585,-80.6094,30.2,51,40,20.71,CA,2021-04-25 19:39:26
108,Northam,51.0333,-4.2167,53.01,67,5,8.99,GB,2021-04-25 19:39:26
109,Saskylakh,71.9167,114.0833,16.18,95,100,14.07,RU,2021-04-25 19:36:30
110,San Patricio,28.017,-97.5169,87.8,45,1,13.8,US,2021-04-25 19:39:26
111,Xiuyan,40.2928,123.2744,51.01,35,100,1.23,CN,2021-04-25 19:39:27
112,Vostok,46.4856,135.8833,22.48,61,9,4.81,RU,2021-04-25 19:39:27
113,Eureka,40.8021,-124.1637,53.01,77,100,3.0,US,2021-04-25 19:34:55
114,Abapo,-18.8333,-63.4667,73.76,42,100,2.15,BO,2021-04-25 19:39:28
115,Lorengau,-2.0226,147.2712,79.23,83,53,6.35,PG,2021-04-25 19:39:29
116,Vaini,-21.2,-175.2,73.4,100,75,5.75,TO,2021-04-25 19:35:55
117,Hornepayne,49.2138,-84.7705,37.38,41,94,7.96,CA,2021-04-25 19:39:30
118,Souillac,-20.5167,57.5167,75.2,94,75,11.5,MU,2021-04-25 19:39:30
119,Haljala,59.4336,26.2614,34.79,97,100,10.74,EE,2021-04-25 19:39:31
120,Karasjok,69.4719,25.5112,33.8,64,75,2.75,NO,2021-04-25 19:39:31
121,Cape Town,-33.9258,18.4232,63.0,94,20,10.36,ZA,2021-04-25 19:38:34
122,Takoradi,4.8845,-1.7554,81.34,82,79,6.93,GH,2021-04-25 19:39:32
123,Kapuskasing,49.4169,-82.4331,32.0,50,100,16.11,CA,2021-04-25 19:39:32
124,Novoukrayinka,48.3264,31.5285,44.33,81,55,10.25,UA,2021-04-25 19:39:32
125,Rawson,-43.3002,-65.1023,67.91,40,74,20.76,AR,2021-04-25 19:39:33
126,Ambon,-3.6954,128.1814,81.37,68,61,6.44,ID,2021-04-25 19:36:37
